"","bathrooms","bedrooms","building_id","created","description","display_address","latitude","listing_id","longitude","manager_id","price","street_address","interest_level"
"11",1,2,"d0cf145bbe795dee0268eebef8596119","2016-04-22 01:23:57","**Large True 2 Bedroom - E 103 St & Lexington Ave**Apartment features:-Super Well Kept Building-Specious living room-Great size bedroom with large closets-New Fixtures-Modern/Separated kitchen-Updated Bathroom-Lot of Sunlight-Apartment is Located to everything-Restaurants + Bars + Great Night LifeFor immediate viewing call Joy 722-233-4135 anytime ","East 103rd Street",40.7908,6909371,-73.9491,"0492625ca98a35bd7d75849f6b4944ae",2150,"102 East 103rd Street","medium"
"12",2,2,"0","2016-04-04 02:46:13","Welcome Home to you Newly renovated Pre war elevator and laundry large three bedroom and two full bathroom apartment. Located on millionaires row in the Wet 80's this apartment has great detail to character. This apartment features a large open living room with crown molding, new floors, with room for large furniture and a dining area. The kitchen is open and has new appliances and cabinets. The master bedroom is easily a king size bedroom with room for additional furniture. The Master also has build in storage and deep closets as well as an on suite bathroom. The second bedroom is a large queen size room with great light. Pets case by case. Call Tina 561-327-4734 or Rob 561-327-4734 for a private viewing.<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","West 86th Street",40.7865,6820681,-73.9731,"d17eb94b9edc5b29b1fffee7143a41f6",5950,"114 West 86th Street","low"
"13",2,5,"e0688ada7951861fdfcdf0173d6949d9","2016-06-07 05:36:13","Desirable EAST VILLAGE location! Elevator building. On-site laundry facility. The neighborhood offers lots of restaurants and bars, gourmet grocery stores, coffee shops, beauty salons and much more!Fully renovated over-sized FIVE Bedroom / 2 Baths with new hardwood floors throughout, fully equipped granite kitchen with stainless steel appliances, marble bathroom with extra storage space, and TONS OF CLOSETS, as well as 2 walk-in closets.Please note that apartment comes unfurnished.<br /><br /><br /><br /><br /><br />For a viewing contact: Antonina Zernova Cell: 846-669-1742 Email: kagglemanager@renthop.com can help you navigate the real estate market in New York, including walking you through the complicated process of application, including applications with guarantors and corporate leases.I have access to all the listings in New York, so if this apartment doesn't fit 100%, I can show you others which suit your budget and taste.<p><a  website_redacted ","East 14th Street",40.7299,7120758,-73.9786,"5814d3532d88d575b189bde891a91086",7477,"535 East 14th Street","low"
"14",1,1,"0","2016-06-09 01:29:52","Renovated beautiful spacious one bedroom apartment near La Salle Street in Morningside Heights is available. Unit features separate windowed eat-in kitchen, large living space with over-sized two windows, queen size bedroom, and good closet space. 3 minutes from the subway 1 line, 125th St. Station and 20 minutes to midtown. Very short walk to Columbia University and City College. Conveniently located from Duane Reade, cafes, bars, and restaurants. For further information or scheduling a viewing contact me via email or at the number as listed. Photos are taken at the similar 1 bedroom unit. ","Broadway",40.8137,7128092,-73.9602,"46c8fa1bae81f16584746079385f29fc",1795,"3135 Broadway","low"
"15",1,2,"0","2016-05-21 03:30:10","<![CDATA[2 bedrooms, 2350, Bedford Stuyvesant/Bushwick/Crown Hts/Prospect Lefferts Gardens<br /><br />3-Story Walkup, Prime<br /><br />Wash/Dryer in Apt., This unit is occupied. Please allow 24 hours for an appointment.<ul><li>1.5 Blocks to L Trains at Wilson Ave. Station</li><li>1.5 Blocks to Laundromat</li><li>2 Blocks to Grocery</li><li>Close to Local Parks</li></ul> <br /><br /><b>Please ask about this apartment by ID number</b>: 649343]]>","Wilson Avenue",40.689,7048625,-73.9056,"a0c2568813a6b95c73abcdc93ec524bf",2350,"634 Wilson Avenue","low"
"16",1,3,"b809c009c803e70c221317657ea96ec8","2016-06-24 02:19:46","APARTMENT IS BIGGER IN PERSON PICTURES DONT DO IT JUSTICEThis is a spacious true 3 bedroom that has undergone a gut renovation 2 baths. The kitchen features beautiful granite counter tops and new, stainless steel appliances including a dishwasher. The apartment has beautiful wall to wall hardwood flooring, ample closet space and tons of light, in the heart of Murray Hill, steps to shopping, restaurants and transportation<br><p><img src= "" website_redacted width=""1"" height=""1"" /><ul><li><a target=_blank href= website_redacted Rolando A Fana for more information</a> </li><li><a target=_blank href= website_redacted full listing information on elliman.com</a> </li></ul></p> ","East 26th Street",40.74,7206491,-73.9805,"115e4142c28e8721297bf8d9787357db",4975,"226 East 26th Street","low"
"17",2,3,"4753d2c0cf73a3ce8c0ccc3d334bb9b6","2016-06-24 08:00:36","No fee Massive two bedroom two bathroom in Midtown East. Great flex three layout. High ceilings and hardwood floors with plenty of light. Stainless steel appliances with granite countertops in the kitchen. Two full bathrooms with linen space. Washer and dryer in unit. Prime Midtown East location. Just a short walk to stores and minutes from mass transportation. Great deal no feePrice is net effective with one month free rent.<br /><br />To view this call Lamar Ali at 370-831-9420 or email kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ","East 50th Street",40.7541,7211338,-73.9663,"efd6fb6d537509ab0fc98661e76d19b2",5363,"361 East 50th Street","low"
"18",1,1,"d89f514c3ed0abaae52cba7017ac0701","2016-05-28 03:58:13","**BUILDING DESCRIPTION-Post-war  -Built 1978  -Low-rise9 Floors  -64 Apartments  -Elevator  -Voice Intercom**BUILDING AMENITIES-Laundry Room**BUILDING PET POLICYNo Pets**TRANSIT INFORMATION(E,M,6) trains, Lexington Av/53 St (0.08 miles)(E,M) trains, 5 Av/53 St (0.15 miles)(N,Q,R,4,5,6) trains, 59 St (0.24 miles)** For further information, more pictures for the apartment and to schedule a showing, please call or text Malik Khmaiyes (861-155-7561<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","East 54th Street",40.7594,7079512,-73.9712,"a6ec99d59fa63c5cf72ae82d5859e477",3495,"123 East 54th Street","low"
"19",1,2,"11e1dec9d14b1a9e528386a2504b3afc","2016-05-04 19:47:45","----NO FEE, Great Price!----This convertible 2BR/1BA features water views, Full kitchen, oversized windows, bright exposures, and  marble bath.Building features 24-hour doorman, free gym, landscaped roof deck, AmEx accepted for rent payment, laundry room on every floor, housekeeping + dry-cleaning available.Contact me ASAP for additional info and or to setup a private showing:   kagglemanager@renthop.com   542-798-4999 JulienPS: as a member of the real estate board of NY and, more importantly, a specialist of lower Manhattan, I have access to all available listings so no need to spend additional time contacting other brokers - I am happy to show you all your best NO or Low Fee options","West Street",40.7058,6965389,-74.017,"ef20d40b528500037e37b167787ac089",3400,"1 West Street","medium"
"20",1,2,"67c9b420da4a365bc26a6cd0ef4a5320","2016-06-12 03:20:07","THIS IS A MUST SEE!PRIME LOCATION ON QUIET BLOC.CLOSE TO TRAIN LINES, RESTAURANTS, SUPERMARKETDOORMAN , ELEVATOR, LAUNDRYAPARTMENT FEATURES HARDWOOD FLOOR , HIGH CEILING, LARGE CLOSETS, GRANITE COUNTER TOPS, DISHWASHER, WASHER AND DRYER, HOTEL STYLE MARBLE BATH AND MANY MORE........THIS APARTMENT IS ONLY SHOWN BY IBRAHIM TAKANE. TO VIEW IT, CALL 501-606-3449<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","East 38th Street",40.7488,7145803,-73.977,"e6472c7237327dd3903b3d6f6a94515a",3400,"137 East 38th Street","low"
"21",1,1,"81062936e12ee5fa6cd2b965698e17d5","2016-05-28 05:43:05","FEATURES: Extra-large windows to enhance the incomparable views,  high ceilings, oak parquet floors, State-of-the-art kitchens,  granite countertops, Dish washer,marble bathroom,Floor to ceiling windows,windows wrap around the unit, BAMBOOhardwood floorsVery large flex 1 !<br /><br />24-hour Concierge, Bicycle Storage, , Fitness Center(NO EXTRA AMENTIES FEES), Garage,  Pet Friendly, Storage, Valet, lounge, Wi-Fi . UTILITIES INCLUDED IN RENT<br /><br />For a private showing Contact me directly . email kagglemanager@renthop.com or Call/Text 991-870-3267<br /><br /><p><a  website_redacted ","Exchange Place",40.7054,7080574,-74.0095,"2aa9bfa5f67ed9997ea341dee8a3a271",2600,"20 Exchange Place","low"
"22",1,0,"87549821ef28bfd6439419baa9cb6a33","2016-06-29 06:22:49","Undermarket studio on W. 54th and 10th Avenue.<br /><br />This is the deal you've been waiting for. Clean, bright and spacious. HOT DEAL.<br /><br />Going fast.<br /><br /><p><a  website_redacted ","West 54th Street",40.7663,7232999,-73.9875,"f7770bf65a8415b3d4eec56c163e0415",1825,"405 West 54th Street","medium"
"23",1.5,2,"766fee7eb49a9a822dae64dafb5d8320","2016-06-06 05:24:31","MASSIVE SUN FILLED CORNER UNIT WITH GORGEOUS CITY/RIVER/EMRIPE STATE BUILDING VIEWS. PRIVATE BALCONY. EAT IN GUT RENOVATED WINDOWED KITCHEN WITH GRANITE COUNTER TOPS AND STAINLESS STEEL APPLIANCES. HUGE LIVING ROOM WITH SEPARATE DINING AREA. 2 KING SIZE BEDROOMS. OVERSIZED WINDOWS. FANTASTIC CLOSET SPACE. BRAND NEW STRIP HARD WOOD FLOORS. ENTRY FOYER. PREMIER LUXURY FULL SERVICE BUILDING WITH TEMPERATURE CONTROLLED POOL, GYM AND ROOFTOP.<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","Mercer Street",40.7301,7116433,-73.9935,"4e01f6c2f4293a7f495bd6ccffae552e",6045,"300 Mercer Street","low"
"24",1,2,"253226b3b80aa94fd0c90880dab73f0d","2016-06-29 12:30:58","Lovely new construction will feature large 2 bedrooms with top of the line touches through out. Building will have laundry Some units have outdoor space Different layouts to choose from No fee August 1st Text for details ","1119 St ",40.6744,7233851,-73.9327,"a621bebe105d26cd338d4c54f35f52e6",2199,"1119 St Marks Ave ","high"
"25",2,3,"1572734f4fe6284f9bd8a389632f78d2","2016-05-17 13:55:01","88TH ST!! FULL SRVC DOORMAN! LUXURY! 3BD! 2 FULL BTH! HI FLR!! FULLY GUT RENOV!!BRAND NEW TO THE MARKET!!! TRUE 2 BD w/DINING ALCOVE THAT CAN EASILY BE MADE INTO A 3RD BEDROOM!!!! PANORAMIC WINDOWS! Granite kitchen with dishwasher and microwave. 2 FULL marble bathrooms. Enormous closet space!FULL TIME DOORMAN/CONCEIRGE! Laundry in building. AMAZING UPPER EAST SIDE LOCATION! RARE DEAL! CALL JENNIFER AT 072-939-4921 OR EMAIL kagglemanager@renthop.com FOR FASTEST RESPONSE!!<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","E 89 St",40.7788,7023882,-73.9474,"fd960446d2a41002d3b36f25740157ca",4200,"401 E 89 St","low"
"26",1,1,"0","2016-05-27 03:14:44","HUGE AMOUNT OF NEW SPACE 1 BEDROOM GREAT AMOUNT OF LIGHT, STAINLESS STEEL APPLIANCES, This apartment is brilliantly located on the Greenwich Village area in a small ELEVATOR building, this great amount of new space is a must see. View this specific apartment 7 days a week from 8:00-20:00, Fast approval within 24-48 hours from the time you submit your standard rental paperwork. For the best apartment match up, kindly email me what you would like in your ideal new home and make sure your moving date is less then a month away. To schedule now an exclusive appointment to view this apartment reach me Tuval Mor by EMAIL , CALL OR TEXT. @All pictures are copyright protected, all rights reserved to Tuval Mor.<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ","W 11 Street",40.7359,7074652,-74.0056,"3793e58c60343a3fd6846ca2d2ef3c7f",3625,"201205 W 11 Street","medium"
"27",1,1,"5aea2ecebfe9285318de6f754fb54f74","2016-05-10 05:28:00","**Fully Renovated 1 Bedroom - Upper East Side** Apartment features:All apartments are newly renovated featuring: bleached-plank hardwood floors, recessed lighting, granite countertops, stainless steel appliances, cherry wood cabinets, crown and baseboard moldings, with marble bathrooms.For immediate viewing contact Nicoletta 449-593-7152 anytime!<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","East 89th Street",40.7802,6990864,-73.9517,"5239c98c3c2228c0369842750684054d",2500,"224 East 89th Street","low"
"28",1,1,"0","2016-04-02 01:18:04","Doorman/Elevator Building With On Site Fitness Room and Laundry. Large Living Room, Walk In Closets, Renovated Kitchen And Bathroom, Strip Wood Floors. ","Amsterdam Avenue",40.7976,6812154,-73.968,"3813434aabfbad659a45f86a740cd23f",3350,"850 Amsterdam Avenue","low"
"29",1,2,"ad988bfd932ec528b2aca7e34c1ca567","2016-06-10 04:47:11","Truly a beautiful place to call home. Renovated and bright with good closet space. Two short blocks from the 6 and E trains. Make sure to call me. I would love to assist you in finding a place. Bond New York Properties offers a variety of exclusive apartments with easy access to openMarket access all Throughout Manhattan that you do not want to miss out on during your search.Call or Email to Arrange an Appointment.<br /><br /><br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ","E 53 Street",40.7574,7136447,-73.9681,"74b9cfbfbdbddbed8828ecac30c9a126",3150,"229 E 53 Street","low"
"30",1,1,"0","2016-04-29 04:38:53","No Fee<br /><br />This is a 1 bedroom in the wonderful SoHo area. The home is accented by charming exposed brick as well as hardwood floors, french doors, marble bath & exposed brick<br /><br />Contact Wade Johnson to schedule your Exclusive viewing today!<br /><br /><p><a  website_redacted ","Mott Street",40.7233,6942095,-73.9946,"bb7afc3ff625acae930d9c2b8cc73f04",3495,"246 Mott Street","low"
"31",1,2,"69132f5119e85a9f5ddd8e3b4ad187e4","2016-06-12 13:36:05","        Check Out This Lovely Apartment Located On The Second Floor Of A Two Family House, Features Two Bedroom, One Bath, Eat In Kitchen, Casual Living Room And Dining Room, And Hardwood Floors Throughout. Completely Renovated. Close To All Shops And Public Transportation.","Fitchett St",40.7209,7152360,-73.8643,"a9a44735cc7189ed019a0d383eb6d1c9",2000,"64-47 Fitchett St","low"
"32",1,4,"9d0ca4730c5c025d2ec3cfe41d764ce7","2016-05-11 05:53:41","Fantastic Fully Renovated TRUE 4 bedroom apartment (no walls needed) or 3 bedroom with formal dining room. Brand New Fully Renovated windowed kitchen with small breakfast nook. Full sized stainless appliances including dishwasher and microwave, black granite countertops. Large living room and dining room or 4th bedroom both front facing with great natural light. All Closets are fully customized with above storage. New Large windowed bathroom with marble floors. Newly refinished herringbone hardwood flooring and original Pre-War details throughout including high ceilings and large moldings with lots of charm. Building has an elevator and laundry facility, live in super, pets case by case.  Contact Nathan 214-991-5694 to schedule a private showing!! This will not LAST LONG!!!<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","West 99th Street",40.796,6996449,-73.9696,"13ddb55a3a9d896b4bcdd538ee0ec067",4195,"206 West 99th Street","medium"
"33",1,1,"0","2016-04-14 05:01:23","","West 27th Street",40.7449,6872747,-73.9893,"c598a7b2d75ee91bf45d5c7c9efb7abb",3000,"29 West 27th Street","low"
"34",1,1,"4becbd424bf8ad3f9496a7138910be57","2016-06-12 10:49:25","        eautiful, quiet I bedroom apt. Upgraded and modern with newer appliances and plenty of closets and hardwood floors throughout. Apt. is on the 2nd floor in the rear of the house of a private 4 family building. 1 block to B and Q train, 1 block to very good public schools, across from girls yeshiva and 1 1/2 blocks to Kings Highway. Location is key.","E. 17th St",40.6063,7149120,-73.9556,"8118b4913673a5f272e02251b977ea30",1600,"1793 E. 17th St","medium"
"35",1,1,"593d0fb003995388a5417df9f80eef7c","2016-04-27 06:49:45","Kew Gardens building is a stunning prewar rental that is in the midst of an extensive refurbishment.-All the common areas will be renovated and brought back to life to near their original design and condition, new laundry facilities installed.-When complete this building will be equipped with a 24hr video monitoring system-A live-in super with support staff, and beautifully manicured grounds.-In addition, all the residences are being gut renovated from head-to-toe; in each apartment you?ll find beautiful bamboo wood flooring throughout, kitchens equipped with stainless steel appliances and cabinet space galore, Marble tiled bathrooms with modern ?fish-bowl? sinks and large mirrors.-Near transportation LIRR, J & Z train, E & F train, or MTA bus Q10For private viewing please contact-Lennie, Weichert Properties C: 230-646-4502 text friendly/Please be specific or E:kagglemanager@renthop.com<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><p><a  website_redacted ","Metropolitan Avenue",40.706,6933632,-73.8324,"103ae490ec43101589e7d0033798f7c6",1895,"118-80 Metropolitan Avenue","low"
"36",4,6,"37e94d0b88705fdd22391b1c3cdf5b5d","2016-04-21 02:28:30","One unit TOWNHOUSE RENTAL AVAILABLE. FOUR STORY, 5 BEDROOM TOWNHOUSE WITH GARDEN AND FINISHED BASEMENT, 3 FULL BATHS AND 2 POWDER ROOMS ON A TREE LINED, QUIET, RESIDENTIAL STREET, VERY CLOSE TO CARL SCHURZ PARK AND ASPHALT GREEN. THIS STATELY HOME BOASTS LOT'S OF ORIGINAL ARCHITECTURAL DETAILS BUT ALSO HAS ALL THE RIGHT MODERN FEATURES SUCH AS A SPLIT ZONED CENTRAL A/C SYSTEM. THE HOUSE HAS RADIANT HEAT ON THE GROUND FLOOR, THE KITCHEN IS TOP OF THE LINE: SUB ZERO, VIKING STOVE, GRANITE COUNTERS. MASTER BATH HAS A JACUZZI. CENTRAL AIR, 3 WORKING FIREPLACES. ALSO A GORGEOUS PRIVATE GARDEN BACKYARD FOR SUMMER ENTERTAINING! To schedule a viewing, call or email me TODAY!<br><p><img src= "" website_redacted width=""1"" height=""1"" /><ul><li><a target=_blank href= website_redacted Roland Levin for more information</a> </li><li><a target=_blank href= website_redacted full listing information on elliman.com</a> </li></ul></p> ","East 87th Street",40.776,6904576,-73.9456,"d6a5cc28cb7d0812f0c491118884e66a",21000,"526 East 87th Street","low"
"37",1,0,"f2cce0549d269c8ae370309aeac938f3","2016-04-14 05:30:56","Stunning, Sunny Studio features new renovation, spacious, new kitchen appliances with white kitchen cabinetry and marble bath. Building features, full-time doorman, elevator and a fitness center.<br /><br />This beauty is located at a verdant tree-lined block in the heart of Upper West Side - close to grocery stores, clothing shops, nail salons, restaurants, bars, delis, gyms, pharmacies, etc. Pretty much everything you need at your fingertips.<br /><br />Contact Syed to view this apartment today!<br /><br /><p><a  website_redacted ","West 73rd Street",40.7797,6873057,-73.9827,"e6472c7237327dd3903b3d6f6a94515a",2000,"240 West 73rd Street","high"
"38",1,1,"2599d95461f22bf92409c0e21fc8a0ca","2016-05-19 01:47:13","","West 96th Street",40.7939,7035273,-73.9695,"62b685cc0d876c3a1a51d63a0d6a8082",3695,"135 West 96TH Street","low"
"39",1,1,"379a891accd668964c9d2080cce45179","2016-05-22 03:25:42","13TH/7TH, PRIME WEST VILLAGE, SPACIOUS 1BR IN PREWAR BUILDING LOCATED NEAR EVERYTHING!Charming building in prime West Village location. One of the many landmark buildings within the West Village, this red-brick low-rise stands 6 stories with over 50+ apartments. The lobby features all the elements to bring out its prewar beauty, from the crown moldings, details in the ceilings, mosaic tile floors and an original elevator. There is also a laundry room and voice intercom. This one bedroom apartment has been fully renovated and is in excellent condition. The apartment features the original hardwood herringbone floors in the living room, 9? high ceilings, a renovated kitchen with stainless steel appliances. The bathroom also features all new vanities and marble tiles. *low fee**Please don't call on Shabbat (Saturday).<br /><br />To view feel free to call email Lior (402-600-7123 kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ","West 13th Street",40.7372,7052718,-73.9981,"2a1ee03b449700c3a15dd8c9a505c525",3400,"117 West 13th Street","medium"
"40",1,3,"0","2016-06-04 06:08:03","Tons of space for the right price!  Everything still feels brand new.  3 big rooms, great neighborhood, lots of windows and great light.Right next to all the park, trains 1 and C easy commute down to lower manhattan, restaurants, bars, schools, and much much more.  2567 rent represents the rent over the course of a one year lease.Actual rent is 2800 a month with 1 month free.2800 x 11 month = 30,800 / 11 months = $2567Feel free to message me with any questions I am happy to help with your apartment search!!<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","515 W 155th",40.8321,7111036,-73.9442,"ae6514d5c5dde0d62b6f01688a7b6812",2567,"515 W 155th","low"
